00OW               20231201                                                                                   
0601OWA0N       20240101000475100000005000 0000000030000760   
0601OWA0N       20240101000480100000005000 0000000030000765   
0601OWA0N       20240101000485100000005000 0000000030000771   
0601OWA0N       20240101000490100000005000 0000000030000782   
0601OWA0N       20240101000495100000005000 0000000030000788   
0601OWA0N       20240101000500100000005000 0000000030000796   
0601OWA0N       20240101000505100000005000 0000000030000804   
0601OWA0N       20240101000510100000005000 0000000030000812   
0601OWA0N       20240101000515100000005000 0000000030000817   
0601OWA0N       20240101000520100000005000 0000000030000827   
0601OWA0N       20240101000525100000005000 0000000030000834   
0601OWA0N       20240101000530100000005000 0000000030000839   
0601OWA0N       20240101000535100000005000 0000000030000847   
0601OWA0N       20240101000540100000005000 0000000030000853   
0601OWA0N       20240101000545100000005000 0000000030000862   
0601OWA0N       20240101000550100000005000 0000000030000867   
0601OWA0N       20240101000555100000005000 0000000030000874   
0601OWA0N       20240101000560100000005000 0000000030000880   
0601OWA0N       20240101000565100000005000 0000000030000885   
0601OWA0N       20240101000570100000005000 0000000030000893   
0601OWA0N       20240101000575100000005000 0000000030000899   
0601OWA0N       20240101000580100000005000 0000000030000903   
0601OWA0N       20240101000585100000005000 0000000030000907   
0601OWA0N       20240101000590100000005000 0000000030000911   
0601OWA0N       20240101000595100000005000 0000000030000915   
0601OWA0N       20240101000600100000005000 0000000030000921   
0601OWA0N       20240101000605100000005000 0000000030000925   
0601OWA0N       20240101000610100000005000 0000000030000929   
0601OWA0N       20240101000615100000005000 0000000030000933   
0601OWA0N       20240101000620100000005000 0000000030000937   
0601OWA0N       20240101000625100000005000 0000000030000942   
0601OWA0N       20240101000630100000005000 0000000030000947   
0601OWA0N       20240101000635100000005000 0000000030000951   
0601OWA0N       20240101000640100000005000 0000000030000954   
0601OWA0N       20240101000645100000005000 0000000030000958   
0601OWA0N       20240101000650100000005000 0000000030000962   
0601OWA0N       20240101000655100000005000 0000000030000967   
0601OWA0N       20240101000660100000005000 0000000030000971   
0601OWA0N       20240101000665100000005000 0000000030000974   
0601OWA0N       20240101000670100000005000 0000000030000977   
0601OWA0N       20240101000675100000005000 0000000030000982   
0601OWA0N       20240101000680100000005000 0000000030000986   
0601OWA0N       20240101000685100000005000 0000000030000989   
0601OWA0N       20240101000690100000005000 0000000030000992   
0601OWA0N       20240101000695100000005000 0000000030000995   
0601OWA0N       20240101000700100000005000 0000000030000999   
0601OWA0N       20240101000705100000005000 0000000030001004   
0601OWA0N       20240101000710100000005000 0000000030001006   
0601OWA0N       20240101000715100000005000 0000000030001009   
0601OWA0N       20240101000720100000005000 0000000030001012   
0601OWA0N       20240101000725100000005000 0000000030001016   
0601OWA0N       20240101000730100000005000 0000000030001020   
0601OWA0N       20240101000735100000005000 0000000030001022   
0601OWA0N       20240101000740100000005000 0000000030001025   
0601OWA0N       20240101000745100000005000 0000000030001027   
0601OWA0N       20240101000750100000005000 0000000030001030   
0601OWA0N       20240101000755100000005000 0000000030001035   
0601OWA0N       20240101000760100000005000 0000000030001037   
0601OWA0N       20240101000765100000005000 0000000030001040   
0601OWA0N       20240101000770100000005000 0000000030001042   
0601OWA0N       20240101000775100000005000 0000000030001044   
0601OWA0N       20240101000780100000005000 0000000030001049   
0601OWA0N       20240101000785100000005000 0000000030001051   
0601OWA0N       20240101000790100000005000 0000000030001054   
0601OWA0N       20240101000795100000005000 0000000030001056   
0601OWA0N       20240101000800100000005000 0000000030001058   
0601OWA0N       20240101000805100000005000 0000000030001063   
0601OWA0N       20240101000810100000005000 0000000030001066   
0601OWA0N       20240101000815100000005000 0000000030001070   
0601OWA0N       20240101000820100000005000 0000000030001074   
0601OWA0N       20240101000825100000005000 0000000030001077   
0601OWA0N       20240101000830100000005000 0000000030001082   
0601OWA0N       20240101000835100000005000 0000000030001085   
0601OWA0N       20240101000840100000005000 0000000030001090   
0601OWA0N       20240101000845100000005000 0000000030001093   
0601OWA0N       20240101000850100000005000 0000000030001097   
0601OWA0N       20240101000855100000005000 0000000030001101   
0601OWA0N       20240101000860100000005000 0000000030001105   
0601OWA0N       20240101000865100000005000 0000000030001108   
0601OWA0N       20240101000870100000005000 0000000030001112   
0601OWA0N       20240101000875100000005000 0000000030001115   
0601OWA0N       20240101000880100000005000 0000000030001120   
0601OWA0N       20240101000885100000005000 0000000030001123   
0601OWA0N       20240101000890100000005000 0000000030001127   
0601OWA0N       20240101000895100000005000 0000000030001130   
0601OWA0N       20240101000900100000005000 0000000030001134   
0601OWA0N       20240101000905100000005000 0000000030001138   
0601OWA0N       20240101000910100000005000 0000000030001142   
0601OWA0N       20240101000915100000005000 0000000030001144   
0601OWA0N       20240101000920100000005000 0000000030001148   
0601OWA0N       20240101000925100000005000 0000000030001151   
0601OWA0N       20240101000930100000005000 0000000030001155   
0601OWA0N       20240101000935100000005000 0000000030001158   
0601OWA0N       20240101000940100000005000 0000000030001162   
0601OWA0N       20240101000945100000005000 0000000030001164   
0601OWA0N       20240101000950100000005000 0000000030001167   
0601OWA0N       20240101000955100000005000 0000000030001172   
0601OWA0N       20240101000960100000005000 0000000030001175   
0601OWA0N       20240101000965100000005000 0000000030001177   
0601OWA0N       20240101000970100000005000 0000000030001180   
0601OWA0N       20240101000975100000005000 0000000030001184   
0601OWA0N       20240101000980100000005000 0000000030001188   
0601OWA0N       20240101000985100000005000 0000000030001190   
0601OWA0N       20240101000990100000005000 0000000030001193   
0601OWA0N       20240101000995100000005000 0000000030001196   
0601OWA0N       20240101001000100000005000 0000000030001198   
0601OWA0N       20240101001005100000005000 0000000030001201   
0601OWA0N       20240101001010100000005000 0000000030001205   
0601OWA0N       20240101001015100000005000 0000000030001207   
0601OWA0N       20240101001020100000005000 0000000030001210   
0601OWA0N       20240101001025100000005000 0000000030001213   
0601OWA0N       20240101001030100000005000 0000000030001215   
0601OWA0N       20240101001035100000005000 0000000030001218   
0601OWA0N       20240101001040100000005000 0000000030001221   
0601OWA0N       20240101001045100000005000 0000000030001224   
0601OWA0N       20240101001050100000005000 0000000030001226   
0601OWA0N       20240101001055100000005000 0000000030001228   
0601OWA0N       20240101001060100000005000 0000000030001232   
0601OWA0N       20240101001065100000005000 0000000030001235   
0601OWA0N       20240101001070100000005000 0000000030001236   
0601OWA0N       20240101001075100000005000 0000000030001239   
0601OWA0N       20240101001080100000005000 0000000030001242   
0601OWA0N       20240101001085100000005000 0000000030001244   
0601OWA0N       20240101001090100000005000 0000000030001247   
0601OWA0N       20240101001095100000005000 0000000030001249   
0601OWA0N       20240101001100100000005000 0000000030001252   
0601OWA0N       20240101001105100000005000 0000000030001254   
0601OWA0N       20240101001110100000005000 0000000030001258   
0601OWA0N       20240101001115100000005000 0000000030001259   
0601OWA0N       20240101001120100000005000 0000000030001261   
0601OWA0N       20240101001125100000005000 0000000030001264   
0601OWA0N       20240101001130100000005000 0000000030001266   
0601OWA0N       20240101001135100000005000 0000000030001270   
0601OWA0N       20240101001140100000005000 0000000030001274   
0601OWA0N       20240101001145100000005000 0000000030001277   
0601OWA0N       20240101001150100000005000 0000000030001279   
0601OWA0N       20240101001155100000005000 0000000030001282   
0601OWA0N       20240101001160100000005000 0000000030001286   
0601OWA0N       20240101001165100000005000 0000000030001289   
0601OWA0N       20240101001170100000005000 0000000030001292   
0601OWA0N       20240101001175100000005000 0000000030001294   
0601OWA0N       20240101001180100000005000 0000000030001297   
0601OWA0N       20240101001185100000005000 0000000030001301   
0601OWA0N       20240101001190100000005000 0000000030001304   
0601OWA0N       20240101001195100000005000 0000000030001306   
0601OWA0N       20240101001200100000005000 0000000030001309   
0601OWA0N       20240101001205100000005000 0000000030001312   
0601OWA0N       20240101001210100000005000 0000000030001315   
0601OWA0N       20240101001215100000005000 0000000030001318   
0601OWA0N       20240101001220100000005000 0000000030001320   
0601OWA0N       20240101001225100000005000 0000000030001323   
0601OWA0N       20240101001230100000005000 0000000030001325   
0601OWA0N       20240101001235100000005000 0000000030001329   
0601OWA0N       20240101001240100000005000 0000000030001332   
0601OWA0N       20240101001245100000005000 0000000030001334   
0601OWA0N       20240101001250100000005000 0000000030001338   
0601OWA0N       20240101001255100000005000 0000000030001340   
0601OWA0N       20240101001260100000005000 0000000030001343   
0601OWA0N       20240101001265100000005000 0000000030001346   
0601OWA0N       20240101001270100000005000 0000000030001349   
0601OWA0N       20240101001275100000005000 0000000030001351   
0601OWA0N       20240101001280100000005000 0000000030001353   
0601OWA0N       20240101001285100000005000 0000000030001357   
0601OWA0N       20240101001290100000005000 0000000030001359   
0601OWA0N       20240101001295100000005000 0000000030001361   
0601OWA0N       20240101001300100000005000 0000000030001364   
0601OWA0N       20240101001305100000005000 0000000030001367   
0601OWA0N       20240101001310100000005000 0000000030001369   
0601OWA0N       20240101001315100000005000 0000000030001372   
0601OWA0N       20240101001320100000005000 0000000030001375   
0601OWA0N       20240101001325100000005000 0000000030001376   
0601OWA0N       20240101001330100000005000 0000000030001380   
0601OWA0N       20240101001335100000005000 0000000030001382   
0601OWA0N       20240101001340100000005000 0000000030001384   
0601OWA0N       20240101001345100000005000 0000000030001387   
0601OWA0N       20240101001350100000005000 0000000030001389   
0601OWA0N       20240101001355100000005000 0000000030001392   
0601OWA0N       20240101001360100000005000 0000000030001394   
0601OWA0N       20240101001365100000005000 0000000030001397   
0601OWA0N       20240101001370100000005000 0000000030001398   
0601OWA0N       20240101001375100000005000 0000000030001402   
0601OWA0N       20240101001380100000005000 0000000030001403   
0601OWA0N       20240101001385100000005000 0000000030001405   
0601OWA0N       20240101001390100000005000 0000000030001409   
0601OWA0N       20240101001395100000005000 0000000030001410   
0601OWA0N       20240101001400100000005000 0000000030001412   
0601OWA0N       20240101001405100000005000 0000000030001415   
0601OWA0N       20240101001410100000005000 0000000030001417   
0601OWA0N       20240101001415100000005000 0000000030001419   
0601OWA0N       20240101001420100000005000 0000000030001421   
0601OWA0N       20240101001425100000005000 0000000030001423   
0601OWA0N       20240101001430100000005000 0000000030001425   
0601OWA0N       20240101001435100000005000 0000000030001427   
0601OWA0N       20240101001440100000005000 0000000030001432   
0601OWA0N       20240101001445100000005000 0000000030001434   
0601OWA0N       20240101001450100000005000 0000000030001436   
0601OWA0N       20240101001455100000005000 0000000030001440   
0601OWA0N       20240101001460100000005000 0000000030001442   
0601OWA0N       20240101001465100000005000 0000000030001445   
0601OWA0N       20240101001470100000005000 0000000030001448   
0601OWA0N       20240101001475100000005000 0000000030001450   
0601OWA0N       20240101001480100000005000 0000000030001452   
0601OWA0N       20240101001485100000005000 0000000030001456   
0601OWA0N       20240101001490100000005000 0000000030001458   
0601OWA0N       20240101001495100000005000 0000000030001460   
0601OWA0N       20240101001500100000500000 0000000030001573   
0601OWA0N       20240101002000100000500000 0000000030001756   
0601OWA0N       20240101002500100000500000 0000000030001879   
0601OWA0N       20240101003000100000500000 0000000030001964   
0601OWA0N       20240101003500100000500000 0000000030002027   
0601OWA0N       20240101004000100000500000 0000000030002074   
0601OWA0N       20240101004500100000500000 0000000030002112   
0601OWA0N       20240101005000100000500000 0000000030002142   
0601OWA0N       20240101005500100000500000 0000000030002168   
0601OWA0N       20240101006000100000500000 0000000030002189   
0601OWA0N       20240101006500100000500000 0000000030002207   
0601OWA0N       20240101007000100000500000 0000000030002222   
0601OWA0N       20240101007500100000500000 0000000030002231   
0601OWA0N       20240101008000100000500000 0000000030002234   
0601OWA0N       20240101008500100000500000 0000000030002236   
0601OWA0N       20240101009000100000500000 0000000030002239   
0601OWA0N       20240101009500100000500000 0000000030002241   
0601OWA1N       20240101000000100000040000 0100000030000000   
0601OWA1N       20240101000040100000005000 0100000030000071   
0601OWA1N       20240101000045100000005000 0100000030000063   
0601OWA1N       20240101000050100000005000 0100000030000057   
0601OWA1N       20240101000055100000005000 0100000030000052   
0601OWA1N       20240101000060100000005000 0100000030000048   
0601OWA1N       20240101000065100000005000 0100000030000044   
0601OWA1N       20240101000070100000005000 0100000030000041   
0601OWA1N       20240101000075100000005000 0100000030000039   
0601OWA1N       20240101000080100000005000 0100000030000036   
0601OWA1N       20240101000085100000005000 0100000030000034   
0601OWA1N       20240101000090100000005000 0100000030000032   
0601OWA1N       20240101000095100000005000 0100000030000031   
0601OWA1N       20240101000100100000005000 0100000030000029   
0601OWA1N       20240101000105100000005000 0100000030000028   
0601OWA1N       20240101000110100000005000 0100000030000027   
0601OWA1N       20240101000115100000005000 0100000030000026   
0601OWA1N       20240101000120100000005000 0100000030000024   
0601OWA1N       20240101000125100000005000 0100000030000024   
0601OWA1N       20240101000130100000005000 0100000030000023   
0601OWA1N       20240101000135100000005000 0100000030000022   
0601OWA1N       20240101000140100000005000 0100000030000021   
0601OWA1N       20240101000145100000005000 0100000030000020   
0601OWA1N       20240101000150100000005000 0100000030000020   
0601OWA1N       20240101000155100000005000 0100000030000019   
0601OWA1N       20240101000160100000005000 0100000030000018   
0601OWA1N       20240101000165100000005000 0100000030000018   
0601OWA1N       20240101000170100000005000 0100000030000017   
0601OWA1N       20240101000175100000005000 0100000030000017   
0601OWA1N       20240101000180100000005000 0100000030000016   
0601OWA1N       20240101000185100000005000 0100000030000016   
0601OWA1N       20240101000190100000005000 0100000030000016   
0601OWA1N       20240101000195100000005000 0100000030000015   
0601OWA1N       20240101000200100000005000 0100000030000015   
0601OWA1N       20240101000205100000005000 0100000030000014   
0601OWA1N       20240101000210100000005000 0100000030000014   
0601OWA1N       20240101000215100000005000 0100000030000014   
0601OWA1N       20240101000220100000005000 0100000030000013   
0601OWA1N       20240101000225100000005000 0100000030000013   
0601OWA1N       20240101000230100000005000 0100000030000013   
0601OWA1N       20240101000235100000005000 0100000030000013   
0601OWA1N       20240101000240100000005000 0100000030000012   
0601OWA1N       20240101000245100000005000 0100000030000012   
0601OWA1N       20240101000250100000005000 0100000030000012   
0601OWA1N       20240101000255100000005000 0100000030000012   
0601OWA1N       20240101000260100000005000 0100000030000011   
0601OWA1N       20240101000265100000005000 0100000030000011   
0601OWA1N       20240101000270100000005000 0100000030000026   
0601OWA1N       20240101000275100000005000 0100000030000047   
0601OWA1N       20240101000280100000005000 0100000030000067   
0601OWA1N       20240101000285100000005000 0100000030000087   
0601OWA1N       20240101000290100000005000 0100000030000106   
0601OWA1N       20240101000295100000005000 0100000030000124   
0601OWA1N       20240101000300100000005000 0100000030000139   
0601OWA1N       20240101000305100000005000 0100000030000163   
0601OWA1N       20240101000310100000005000 0100000030000176   
0601OWA1N       20240101000315100000005000 0100000030000202   
0601OWA1N       20240101000320100000005000 0100000030000217   
0601OWA1N       20240101000325100000005000 0100000030000232   
0601OWA1N       20240101000330100000005000 0100000030000247   
0601OWA1N       20240101000335100000005000 0100000030000264   
0601OWA1N       20240101000340100000005000 0100000030000280   
0601OWA1N       20240101000345100000005000 0100000030000294   
0601OWA1N       20240101000350100000005000 0100000030000309   
0601OWA1N       20240101000355100000005000 0100000030000322   
0601OWA1N       20240101000360100000005000 0100000030000334   
0601OWA1N       20240101000365100000005000 0100000030000346   
0601OWA1N       20240101000370100000005000 0100000030000357   
0601OWA1N       20240101000375100000005000 0100000030000374   
0601OWA1N       20240101000380100000005000 0100000030000384   
0601OWA1N       20240101000385100000005000 0100000030000395   
0601OWA1N       20240101000390100000005000 0100000030000408   
0601OWA1N       20240101000395100000005000 0100000030000418   
0601OWA1N       20240101000400100000005000 0100000030000427   
0601OWA1N       20240101000405100000005000 0100000030000437   
0601OWA1N       20240101000410100000005000 0100000030000451   
0601OWA1N       20240101000415100000005000 0100000030000460   
0601OWA1N       20240101000420100000005000 0100000030000469   
0601OWA1N       20240101000425100000005000 0100000030000480   
0601OWA1N       20240101000430100000005000 0100000030000488   
0601OWA1N       20240101000435100000005000 0100000030000498   
0601OWA1N       20240101000440100000005000 0100000030000511   
0601OWA1N       20240101000445100000005000 0100000030000518   
0601OWA1N       20240101000450100000005000 0100000030000528   
0601OWA1N       20240101000455100000005000 0100000030000540   
0601OWA1N       20240101000460100000005000 0100000030000547   
0601OWA1N       20240101000465100000005000 0100000030000558   
0601OWA1N       20240101000470100000005000 0100000030000567   
0601OWA1N       20240101000475100000005000 0100000030000578   
0601OWA1N       20240101000480100000005000 0100000030000584   
0601OWA1N       20240101000485100000005000 0100000030000593   
0601OWA1N       20240101000490100000005000 0100000030000603   
0601OWA1N       20240101000495100000005000 0100000030000609   
0601OWA1N       20240101000500100000005000 0100000030000619   
0601OWA1N       20240101000505100000005000 0100000030000627   
0601OWA1N       20240101000510100000005000 0100000030000636   
0601OWA1N       20240101000515100000005000 0100000030000642   
0601OWA1N       20240101000520100000005000 0100000030000649   
0601OWA1N       20240101000525100000005000 0100000030000658   
0601OWA1N       20240101000530100000005000 0100000030000663   
0601OWA1N       20240101000535100000005000 0100000030000672   
0601OWA1N       20240101000540100000005000 0100000030000678   
0601OWA1N       20240101000545100000005000 0100000030000687   
0601OWA1N       20240101000550100000005000 0100000030000691   
0601OWA1N       20240101000555100000005000 0100000030000698   
0601OWA1N       20240101000560100000005000 0100000030000706   
0601OWA1N       20240101000565100000005000 0100000030000712   
0601OWA1N       20240101000570100000005000 0100000030000721   
0601OWA1N       20240101000575100000005000 0100000030000729   
0601OWA1N       20240101000580100000005000 0100000030000735   
0601OWA1N       20240101000585100000005000 0100000030000740   
0601OWA1N       20240101000590100000005000 0100000030000746   
0601OWA1N       20240101000595100000005000 0100000030000751   
0601OWA1N       20240101000600100000005000 0100000030000759   
0601OWA1N       20240101000605100000005000 0100000030000764   
0601OWA1N       20240101000610100000005000 0100000030000769   
0601OWA1N       20240101000615100000005000 0100000030000774   
0601OWA1N       20240101000620100000005000 0100000030000779   
0601OWA1N       20240101000625100000005000 0100000030000786   
0601OWA1N       20240101000630100000005000 0100000030000791   
0601OWA1N       20240101000635100000005000 0100000030000795   
0601OWA1N       20240101000640100000005000 0100000030000800   
0601OWA1N       20240101000645100000005000 0100000030000805   
0601OWA1N       20240101000650100000005000 0100000030000812   
0601OWA1N       20240101000655100000005000 0100000030000817   
0601OWA1N       20240101000660100000005000 0100000030000821   
0601OWA1N       20240101000665100000005000 0100000030000825   
0601OWA1N       20240101000670100000005000 0100000030000830   
0601OWA1N       20240101000675100000005000 0100000030000835   
0601OWA1N       20240101000680100000005000 0100000030000840   
0601OWA1N       20240101000685100000005000 0100000030000844   
0601OWA1N       20240101000690100000005000 0100000030000848   
0601OWA1N       20240101000695100000005000 0100000030000852   
0601OWA1N       20240101000700100000005000 0100000030000857   
0601OWA1N       20240101000705100000005000 0100000030000861   
0601OWA1N       20240101000710100000005000 0100000030000866   
0601OWA1N       20240101000715100000005000 0100000030000870   
0601OWA1N       20240101000720100000005000 0100000030000873   
0601OWA1N       20240101000725100000005000 0100000030000878   
0601OWA1N       20240101000730100000005000 0100000030000882   
0601OWA1N       20240101000735100000005000 0100000030000887   
0601OWA1N       20240101000740100000005000 0100000030000890   
0601OWA1N       20240101000745100000005000 0100000030000894   
0601OWA1N       20240101000750100000005000 0100000030000897   
0601OWA1N       20240101000755100000005000 0100000030000902   
0601OWA1N       20240101000760100000005000 0100000030000906   
0601OWA1N       20240101000765100000005000 0100000030000909   
0601OWA1N       20240101000770100000005000 0100000030000913   
0601OWA1N       20240101000775100000005000 0100000030000916   
0601OWA1N       20240101000780100000005000 0100000030000921   
0601OWA1N       20240101000785100000005000 0100000030000924   
0601OWA1N       20240101000790100000005000 0100000030000927   
0601OWA1N       20240101000795100000005000 0100000030000930   
0601OWA1N       20240101000800100000005000 0100000030000933   
0601OWA1N       20240101000805100000005000 0100000030000939   
0601OWA1N       20240101000810100000005000 0100000030000942   
0601OWA1N       20240101000815100000005000 0100000030000944   
0601OWA1N       20240101000820100000005000 0100000030000947   
0601OWA1N       20240101000825100000005000 0100000030000950   
0601OWA1N       20240101000830100000005000 0100000030000955   
0601OWA1N       20240101000835100000005000 0100000030000958   
0601OWA1N       20240101000840100000005000 0100000030000960   
0601OWA1N       20240101000845100000005000 0100000030000963   
0601OWA1N       20240101000850100000005000 0100000030000965   
0601OWA1N       20240101000855100000005000 0100000030000970   
0601OWA1N       20240101000860100000005000 0100000030000973   
0601OWA1N       20240101000865100000005000 0100000030000975   
0601OWA1N       20240101000870100000005000 0100000030000978   
0601OWA1N       20240101000875100000005000 0100000030000980   
0601OWA1N       20240101000880100000005000 0100000030000985   
0601OWA1N       20240101000885100000005000 0100000030000988   
0601OWA1N       20240101000890100000005000 0100000030000993   
0601OWA1N       20240101000895100000005000 0100000030000996   
0601OWA1N       20240101000900100000005000 0100000030001001   
0601OWA1N       20240101000905100000005000 0100000030001005   
0601OWA1N       20240101000910100000005000 0100000030001009   
0601OWA1N       20240101000915100000005000 0100000030001013   
0601OWA1N       20240101000920100000005000 0100000030001016   
0601OWA1N       20240101000925100000005000 0100000030001020   
0601OWA1N       20240101000930100000005000 0100000030001024   
0601OWA1N       20240101000935100000005000 0100000030001028   
0601OWA1N       20240101000940100000005000 0100000030001031   
0601OWA1N       20240101000945100000005000 0100000030001035   
0601OWA1N       20240101000950100000005000 0100000030001039   
0601OWA1N       20240101000955100000005000 0100000030001043   
0601OWA1N       20240101000960100000005000 0100000030001047   
0601OWA1N       20240101000965100000005000 0100000030001051   
0601OWA1N       20240101000970100000005000 0100000030001055   
0601OWA1N       20240101000975100000005000 0100000030001058   
0601OWA1N       20240101000980100000005000 0100000030001063   
0601OWA1N       20240101000985100000005000 0100000030001066   
0601OWA1N       20240101000990100000005000 0100000030001069   
0601OWA1N       20240101000995100000005000 0100000030001073   
0601OWA1N       20240101001000100000005000 0100000030001076   
0601OWA1N       20240101001005100000005000 0100000030001079   
0601OWA1N       20240101001010100000005000 0100000030001083   
0601OWA1N       20240101001015100000005000 0100000030001087   
0601OWA1N       20240101001020100000005000 0100000030001090   
0601OWA1N       20240101001025100000005000 0100000030001093   
0601OWA1N       20240101001030100000005000 0100000030001096   
0601OWA1N       20240101001035100000005000 0100000030001101   
0601OWA1N       20240101001040100000005000 0100000030001104   
0601OWA1N       20240101001045100000005000 0100000030001106   
0601OWA1N       20240101001050100000005000 0100000030001110   
0601OWA1N       20240101001055100000005000 0100000030001113   
0601OWA1N       20240101001060100000005000 0100000030001116   
0601OWA1N       20240101001065100000005000 0100000030001119   
0601OWA1N       20240101001070100000005000 0100000030001123   
0601OWA1N       20240101001075100000005000 0100000030001125   
0601OWA1N       20240101001080100000005000 0100000030001128   
0601OWA1N       20240101001085100000005000 0100000030001132   
0601OWA1N       20240101001090100000005000 0100000030001135   
0601OWA1N       20240101001095100000005000 0100000030001138   
0601OWA1N       20240101001100100000005000 0100000030001141   
0601OWA1N       20240101001105100000005000 0100000030001143   
0601OWA1N       20240101001110100000005000 0100000030001147   
0601OWA1N       20240101001115100000005000 0100000030001150   
0601OWA1N       20240101001120100000005000 0100000030001152   
0601OWA1N       20240101001125100000005000 0100000030001155   
0601OWA1N       20240101001130100000005000 0100000030001158   
0601OWA1N       20240101001135100000005000 0100000030001161   
0601OWA1N       20240101001140100000005000 0100000030001164   
0601OWA1N       20240101001145100000005000 0100000030001167   
0601OWA1N       20240101001150100000005000 0100000030001169   
0601OWA1N       20240101001155100000005000 0100000030001171   
0601OWA1N       20240101001160100000005000 0100000030001175   
0601OWA1N       20240101001165100000005000 0100000030001178   
